country,date,External Debt to GDP,Year,Debt Growth Rate (%)
China,1998,14.2445719528867,1970,3.326230584365808
China,1997,15.4539112920521,1970,8.48982576075461
China,1996,15.1574272855059,1970,-1.9185046487142698
China,1995,16.3709662485804,1970,8.006233117376937
China,1994,17.8714515338174,1970,9.165526716342187
China,1993,13.9347456125926,1970,-22.02790251130713
China,1992,14.7022915448934,1970,5.508144559217376
China,1991,14.5477889400006,1970,-1.050874310450356
China,1990,13.9783897253517,1970,-3.913991445691656
China,1989,9.84242837064935,1970,-29.588253267836894
China,1988,10.4097761682443,1970,5.7643071021660885
China,1987,10.8113472275795,1970,3.8576339475983934
China,1986,7.8935142061853,1970,-26.98861631185866
China,1985,5.37510874117939,1970,-31.904743555570036
China,1984,3.83450491101869,1970,-28.661816985355813
China,1983,3.14203333215619,1970,-18.058956630167287
China,1982,2.94049625246561,1970,-6.414224751469366
China,1981,2.00309066646394,1970,-31.87916275069742
China,1980,2.00309066646394,1970,0.0
China,1979,2.00309066646394,1970,0.0
China,1978,2.00309066646394,1970,0.0
China,1977,2.00309066646394,1970,0.0
China,1976,2.00309066646394,1970,0.0
China,1975,2.00309066646394,1970,0.0
China,1974,2.00309066646394,1970,0.0
China,1973,2.00309066646394,1970,0.0
China,1972,2.00309066646394,1970,0.0
China,1971,2.00309066646394,1970,0.0
China,1970,2.00309066646394,1970,0.0
China,1969,2.00309066646394,1970,0.0
China,1968,2.00309066646394,1970,0.0
China,1967,2.00309066646394,1970,0.0
China,1966,2.00309066646394,1970,0.0
China,1965,2.00309066646394,1970,0.0
China,1964,2.00309066646394,1970,0.0
China,1963,2.00309066646394,1970,0.0
China,1962,2.00309066646394,1970,0.0
China,1961,2.00309066646394,1970,0.0
China,1960,2.00309066646394,1970,0.0
India,2023,2.00309066646394,1970,
India,2022,18.4230765466735,1970,819.7325340842307
India,2021,19.8230119664583,1970,7.598814542392884
India,2020,21.4359238508865,1970,8.136563137616726
India,2019,19.9766366353173,1970,-6.807671205217735
India,2018,19.4905310721058,1970,-2.433370402063073
India,2017,19.5049373712604,1970,0.07391434897954241
India,2016,20.0812235448575,1970,2.9545656190941294
India,2015,23.0297689509896,1970,14.683096373812221
India,2014,22.7049198425766,1970,-1.4105617347022426
India,2013,23.3008757771863,1970,2.6247876616245724
India,2012,21.7351878661413,1970,-6.719438041800785
India,2011,18.5055609944035,1970,-14.858978406940093
India,2010,17.520327243228,1970,-5.323987483943105
India,2009,19.2155611185983,1970,9.67581171193903
India,2008,19.0572058938661,1970,-0.8240988839973484
India,2007,16.8414102457773,1970,-11.627075135930564
India,2006,17.0996791242773,1970,1.5335347499462415
India,2005,14.8800533757421,1970,-12.980511110199034
India,2004,17.5589283983963,1970,18.003127777897497
India,2003,19.7092213379721,1970,12.246151307116149
India,2002,20.6732475500878,1970,4.891244537694606
India,2001,20.6760606582492,1970,0.013607480656263604
India,2000,21.8229075342518,1970,5.546737818961867
India,1999,21.9170633132103,1970,0.43145386933760577
India,1998,23.5364642994774,1970,7.388768116990496
India,1997,22.8125471917776,1970,-3.0757258120365782
India,1996,24.1426536681275,1970,5.830591670312524
India,1995,26.3321749588569,1970,9.069099531589387
India,1994,30.2989741855664,1970,15.064457200772384
India,1993,33.157477335464,1970,9.434323196523643
India,1992,30.9287372170104,1970,-6.7216817971547655
India,1991,31.8999260564656,1970,3.140085651221014
India,1990,26.3503860119686,1970,-17.396717580704856
India,1989,25.1949473573329,1970,-4.384902195022445
India,1988,20.2016135814387,1970,-19.81879027201423
India,1987,19.2859862568476,1970,-4.532446484534192
India,1986,18.1397801866249,1970,-5.9432069221543316
India,1985,16.8298476091414,1970,-7.221325528792022
India,1984,15.5309114795427,1970,-7.718050452775116
India,1983,14.1016587725392,1970,-9.202632497687668
India,1982,13.4675820923942,1970,-4.4964687514618245
India,1981,11.6154387844499,1970,-13.752604552455594
India,1980,11.0961065452754,1970,-4.471051406768655
India,1979,11.8750848063808,1970,7.020284618996198
India,1978,12.0488845908307,1970,1.4635666800165703
India,1977,12.7168401804502,1970,5.54371306807786
India,1976,14.2366681694855,1970,11.951302111760075
India,1975,14.1229173890864,1970,-0.798998607292889
India,1974,12.8043772650601,1970,-9.33617387753901
India,1973,12.8856255776752,1970,0.6345354477863108
India,1972,14.1113138585024,1970,9.512058793255251
India,1971,13.9317391661706,1970,-1.2725582758093323
India,1970,13.5793083177093,1970,-2.529697435888556
India,1969,13.5793083177093,1970,0.0
India,1968,13.5793083177093,1970,0.0
